,author,title,sentence,sentence_nr,words,kind
1730,"Christie, Agatha",The Mysterious Affair at Styles,Oh yes  You yourself did not happen to notice madame when you entered Mrs Inglethorps room whether that door was bolted or not  II believe it was,3169,Adam Trehearne,person
1731,"Christie, Agatha",The Mysterious Affair at Styles,But I did interrupted Lawrence suddenly,3173,Lawrence Cavendish,person
1732,"Christie, Agatha",The Mysterious Affair at Styles,And Poirot looked crestfallen,3176,Hercule Poirot,person
1733,"Christie, Agatha",The Mysterious Affair at Styles,After lunch Poirot begged me to accompany him home,3178,Hercule Poirot,person
1735,"Christie, Agatha",The Mysterious Affair at Styles,I gave Lawrence your message I said,3188,Lawrence Cavendish,person
1736,"Christie, Agatha",The Mysterious Affair at Styles,I had expected Poirot to be disappointed but to my surprise he replied that that was as he had thought and that he was very glad,3192,Hercule Poirot,person
1737,"Christie, Agatha",The Mysterious Affair at Styles,Poirot switched off on another tack,3194,Hercule Poirot,person
1738,"Christie, Agatha",The Mysterious Affair at Styles,Mademoiselle Cynthia was not at lunch today,3195,Cynthia Murdoch,person
1740,"Christie, Agatha",The Mysterious Affair at Styles,She is like pictures I have seen in Italy,3200,Italy,location
1741,"Christie, Agatha",The Mysterious Affair at Styles,Women are doing great work nowadays and Mademoiselle Cynthia is cleveroh yes she has brains that little one,3207,Cynthia Murdoch,person
1743,"Christie, Agatha",The Mysterious Affair at Styles,Why  Poirot shrugged his shoulders,3219,Hercule Poirot,person
1744,"Christie, Agatha",The Mysterious Affair at Styles,The woods round Styles were very beautiful,3227,Styles,location
1746,"Christie, Agatha",The Mysterious Affair at Styles,I even forgave Poirot for his absurd secrecy,3232,Hercule Poirot,person
1747,"Christie, Agatha",The Mysterious Affair at Styles,The truth of the matter was that it was Lawrence who had murdered Alfred Inglethorp with a croquet mallet,3239,Lawrence Cavendish,person
1748,"Christie, Agatha",The Mysterious Affair at Styles,The truth of the matter was that it was Lawrence who had murdered Alfred Inglethorp with a croquet mallet,3239,Alfred Inglethorp,person
1753,"Christie, Agatha",The Mysterious Affair at Styles,But it was absurd of John to make such a fuss about it and to go shouting out I tell you I wont have it,3240,John Cavendish,person
1754,"Christie, Agatha",The Mysterious Affair at Styles,For about twelve feet away from me John and Mary Cavendish were standing facing each other and they were evidently quarrelling,3243,John Cavendish,person
1755,"Christie, Agatha",The Mysterious Affair at Styles,For about twelve feet away from me John and Mary Cavendish were standing facing each other and they were evidently quarrelling,3243,Mary Cavendish,person
1756,"Christie, Agatha",The Mysterious Affair at Styles,For about twelve feet away from me John and Mary Cavendish were standing facing each other and they were evidently quarrelling,3243,Mary Cavendish,person
1757,"Christie, Agatha",The Mysterious Affair at Styles,And quite as evidently they were unaware of my vicinity for before I could move or speak John repeated the words which had aroused me from my dream,3244,John Cavendish,person
1758,"Christie, Agatha",The Mysterious Affair at Styles,I tell you Mary I wont have it,3245,Mary Cavendish,person
1759,"Christie, Agatha",The Mysterious Affair at Styles,Marys voice came cool and liquid  Have  you  any right to criticize my actions  It will be the talk of the village,3246,Mary Cavendish,person
1760,"Christie, Agatha",The Mysterious Affair at Styles,I did not wonder that the blood rose to Johns face in a crimson tide,3254,John Cavendish,person
1761,"Christie, Agatha",The Mysterious Affair at Styles,Mary  Well,3255,Mary Cavendish,person
1762,"Christie, Agatha",The Mysterious Affair at Styles,John fell back a pace,3262,John Cavendish,person
1763,"Christie, Agatha",The Mysterious Affair at Styles,You see said Mary quietly,3265,Mary Cavendish,person
1764,"Christie, Agatha",The Mysterious Affair at Styles,John glanced at her pleadingly a stricken look on his face,3267,John Cavendish,person
1765,"Christie, Agatha",The Mysterious Affair at Styles,Have I  no  right Mary he said unsteadily,3269,Mary Cavendish,person
1766,"Christie, Agatha",The Mysterious Affair at Styles,Mary  For a moment I thought she wavered,3271,Mary Cavendish,person
1767,"Christie, Agatha",The Mysterious Affair at Styles,She was walking away when John sprang after her and caught her by the arm,3274,John Cavendish,person
1768,"Christie, Agatha",The Mysterious Affair at Styles,Maryhis voice was very quiet noware you in love with this fellow Bauerstein,3275,Mary Cavendish,person
1769,"Christie, Agatha",The Mysterious Affair at Styles,So might some Egyptian sphinx have smiled,3277,Egypt,location
1770,"Christie, Agatha",The Mysterious Affair at Styles,Perhaps she said and then swiftly passed out of the little glade leaving John standing there as though he had been turned to stone,3279,John Cavendish,person
1771,"Christie, Agatha",The Mysterious Affair at Styles,John turned,3281,John Cavendish,person
1772,"Christie, Agatha",The Mysterious Affair at Styles,Hullo Hastings,3283,Arthur Hastings,person
1773,"Christie, Agatha",The Mysterious Affair at Styles,Scotland Yard men in and out of the house like a jackinthebox,3291,Jack,person
1774,"Christie, Agatha",The Mysterious Affair at Styles,Scotland Yard men in and out of the house like a jackinthebox,3291,Scotland,location
1775,"Christie, Agatha",The Mysterious Affair at Styles,Sort of Madame Tussauds chamber of horrors business that can be seen for nothing,3295,Adam Trehearne,person
1776,"Christie, Agatha",The Mysterious Affair at Styles,Cheer up John,3297,John Cavendish,person
1777,"Christie, Agatha",The Mysterious Affair at Styles,John lowered his voice  Have you ever thought Hastingsits a nightmare to mewho did it,3306,John Cavendish,person
1778,"Christie, Agatha",The Mysterious Affair at Styles,John lowered his voice  Have you ever thought Hastingsits a nightmare to mewho did it,3306,Arthur Hastings,person
1780,"Christie, Agatha",The Mysterious Affair at Styles,Poirots mysterious doings his hintsthey all fitted in,3316,Hercule Poirot,person
1781,"Christie, Agatha",The Mysterious Affair at Styles,No John I said it isnt one of us,3318,John Cavendish,person
1782,"Christie, Agatha",The Mysterious Affair at Styles,Not at all  But what earthly interest could he have in my mothers death  That I dont see I confessed but Ill tell you this Poirot thinks so  Poirot,3326,Hercule Poirot,person
1783,"Christie, Agatha",The Mysterious Affair at Styles,I told him of Poirots intense excitement on hearing that Dr Bauerstein had been at Styles on the fatal night and added  He said twice That alters everything,3329,Dr Bauerstein,person
1784,"Christie, Agatha",The Mysterious Affair at Styles,I told him of Poirots intense excitement on hearing that Dr Bauerstein had been at Styles on the fatal night and added  He said twice That alters everything,3329,Styles,location
1785,"Christie, Agatha",The Mysterious Affair at Styles,I told him of Poirots intense excitement on hearing that Dr Bauerstein had been at Styles on the fatal night and added  He said twice That alters everything,3329,Hercule Poirot,person
1787,"Christie, Agatha",The Mysterious Affair at Styles,Isnt it possible that as Inglethorp brought him through the hall the doctor dropped something into the coffee in passing  Hm said John It would have been very risky,3333,John Cavendish,person
1789,"Christie, Agatha",The Mysterious Affair at Styles,And I then told him of the cocoa sample which Poirot had taken to be analysed,3341,Hercule Poirot,person
1790,"Christie, Agatha",The Mysterious Affair at Styles,John interrupted just as I had done,3342,John Cavendish,person
1791,"Christie, Agatha",The Mysterious Affair at Styles,But no one would dream of suspecting Bauerstein or think of taking another sampleexcept Poirot I added with belated recognition,3349,Hercule Poirot,person
1793,"Christie, Agatha",The Mysterious Affair at Styles,Hm yes that might be said John But look here how could he have got at the cocoa,3358,John Cavendish,person
1794,"Christie, Agatha",The Mysterious Affair at Styles,I hoped and prayed it would not occur to John also,3361,John Cavendish,person
1795,"Christie, Agatha",The Mysterious Affair at Styles,He was frowning perplexedly and I drew a deep breath of relief for the terrible thought that had flashed across my mind was this that Dr Bauerstein might have had an accomplice,3363,Dr Bauerstein,person
1796,"Christie, Agatha",The Mysterious Affair at Styles,Surely no woman as beautiful as Mary Cavendish could be a murderess,3365,Mary Cavendish,person
1797,"Christie, Agatha",The Mysterious Affair at Styles,Surely no woman as beautiful as Mary Cavendish could be a murderess,3365,Mary Cavendish,person
1798,"Christie, Agatha",The Mysterious Affair at Styles,Had Mrs Inglethorp discovered something between her and Bauerstein and threatened to tell her husband,3369,Mrs Inglethorp,person
1801,"Christie, Agatha",The Mysterious Affair at Styles,Then I remembered that enigmatical conversation between Poirot and Evelyn Howard,3371,Evelyn Howard,person
1803,"Christie, Agatha",The Mysterious Affair at Styles,Then I remembered that enigmatical conversation between Poirot and Evelyn Howard,3371,Hercule Poirot,person
1804,"Christie, Agatha",The Mysterious Affair at Styles,Was this the monstrous possibility that Evelyn had tried not to believe,3373,Evelyn Howard,person
1806,"Christie, Agatha",The Mysterious Affair at Styles,No wonder Miss Howard had suggested hushing it up,3375,Evelyn Howard,person
1807,"Christie, Agatha",The Mysterious Affair at Styles,Now I understood that unfinished sentence of hers Emily herself And in my heart I agreed with her,3376,Mrs Inglethorp,person
1809,"Christie, Agatha",The Mysterious Affair at Styles,Theres another thing said John suddenly and the unexpected sound of his voice made me start guiltily,3379,John Cavendish,person
1810,"Christie, Agatha",The Mysterious Affair at Styles,Yes thats possible admitted John,3392,John Cavendish,person
1811,"Christie, Agatha",The Mysterious Affair at Styles,Cynthia was back from the hospital and I placed my chair beside her and told her of Poirots wish to visit the dispensary,3400,Cynthia Murdoch,person
1812,"Christie, Agatha",The Mysterious Affair at Styles,Cynthia was back from the hospital and I placed my chair beside her and told her of Poirots wish to visit the dispensary,3400,Hercule Poirot,person
1813,"Christie, Agatha",The Mysterious Affair at Styles,We were silent for a minute or two and then glancing in the direction of Mary Cavendish and dropping her voice Cynthia said  Mr,3411,Mary Cavendish,person
1814,"Christie, Agatha",The Mysterious Affair at Styles,We were silent for a minute or two and then glancing in the direction of Mary Cavendish and dropping her voice Cynthia said  Mr,3411,Cynthia Murdoch,person
1815,"Christie, Agatha",The Mysterious Affair at Styles,We were silent for a minute or two and then glancing in the direction of Mary Cavendish and dropping her voice Cynthia said  Mr,3411,Mary Cavendish,person
1816,"Christie, Agatha",The Mysterious Affair at Styles,Arthur Hastings,3412,Arthur Hastings,person
1817,"Christie, Agatha",The Mysterious Affair at Styles,Her glance at Mary had set me thinking,3414,Mary Cavendish,person
1818,"Christie, Agatha",The Mysterious Affair at Styles,Mrs Inglethorp had made no provisions of any kind for her but I imagined that John and Mary would probably insist on her making her home with themat any rate until the end of the war,3417,John Cavendish,person
1819,"Christie, Agatha",The Mysterious Affair at Styles,Mrs Inglethorp had made no provisions of any kind for her but I imagined that John and Mary would probably insist on her making her home with themat any rate until the end of the war,3417,Mary Cavendish,person
1820,"Christie, Agatha",The Mysterious Affair at Styles,Mrs Inglethorp had made no provisions of any kind for her but I imagined that John and Mary would probably insist on her making her home with themat any rate until the end of the war,3417,Mrs Inglethorp,person
1822,"Christie, Agatha",The Mysterious Affair at Styles,John I knew was very fond of her and would be sorry to let her go,3418,John Cavendish,person
1823,"Christie, Agatha",The Mysterious Affair at Styles,John who had gone into the house now reappeared,3419,John Cavendish,person
1826,"Christie, Agatha",The Mysterious Affair at Styles,I shall go for that fellow Inspector Japp when I next see him  Lot of Paul Prys grunted Miss Howard,3426,Evelyn Howard,person
1827,"Christie, Agatha",The Mysterious Affair at Styles,I shall go for that fellow Inspector Japp when I next see him  Lot of Paul Prys grunted Miss Howard,3426,Inspector Japp,person
1828,"Christie, Agatha",The Mysterious Affair at Styles,I shall go for that fellow Inspector Japp when I next see him  Lot of Paul Prys grunted Miss Howard,3426,Paul Prys,person
1829,"Christie, Agatha",The Mysterious Affair at Styles,Lawrence opined that they had to make a show of doing something,3427,Lawrence Cavendish,person
1830,"Christie, Agatha",The Mysterious Affair at Styles,Mary Cavendish said nothing,3428,Mary Cavendish,person
1831,"Christie, Agatha",The Mysterious Affair at Styles,Mary Cavendish said nothing,3428,Mary Cavendish,person
1832,"Christie, Agatha",The Mysterious Affair at Styles,After tea I invited Cynthia to come for a walk and we sauntered off into the woods together,3429,Cynthia Murdoch,person
1833,"Christie, Agatha",The Mysterious Affair at Styles,With a sigh Cynthia flung herself down and tossed off her hat,3432,Cynthia Murdoch,person
1834,"Christie, Agatha",The Mysterious Affair at Styles,Hastingsyou are always so kind and you know such a lot,3435,Arthur Hastings,person
1835,"Christie, Agatha",The Mysterious Affair at Styles,It struck me at this moment that Cynthia was really a very charming girl,3436,Cynthia Murdoch,person
1836,"Christie, Agatha",The Mysterious Affair at Styles,Much more charming than Mary who never said things of that kind,3437,Mary Cavendish,person
1837,"Christie, Agatha",The Mysterious Affair at Styles,You see Mrs Inglethorp always told me I should be provided for,3442,Mrs Inglethorp,person
1838,"Christie, Agatha",The Mysterious Affair at Styles,You see Mrs Inglethorp always told me I should be provided for,3442,Mrs Inglethorp,person
1839,"Christie, Agatha",The Mysterious Affair at Styles,Cynthia hesitated a moment plucking up the grass with her tiny hands,3447,Cynthia Murdoch,person
1840,"Christie, Agatha",The Mysterious Affair at Styles,Cynthia nodded,3452,Cynthia Murdoch,person
1841,"Christie, Agatha",The Mysterious Affair at Styles,On the contrary John is very fond of you  Oh yes John,3456,John Cavendish,person
1842,"Christie, Agatha",The Mysterious Affair at Styles,I meant Lawrence,3457,Lawrence Cavendish,person
1843,"Christie, Agatha",The Mysterious Affair at Styles,Not of course that I care whether Lawrence hates me or not,3458,Lawrence Cavendish,person
1844,"Christie, Agatha",The Mysterious Affair at Styles,But they do Cynthia dear I said earnestly,3460,Cynthia Murdoch,person
1845,"Christie, Agatha",The Mysterious Affair at Styles,Look there is Johnand Miss Howard  Cynthia nodded rather gloomily,3462,John Cavendish,person
1846,"Christie, Agatha",The Mysterious Affair at Styles,Look there is Johnand Miss Howard  Cynthia nodded rather gloomily,3462,Cynthia Murdoch,person
1848,"Christie, Agatha",The Mysterious Affair at Styles,Look there is Johnand Miss Howard  Cynthia nodded rather gloomily,3462,Evelyn Howard,person
1849,"Christie, Agatha",The Mysterious Affair at Styles,Yes John likes me I think and of course Evie for all her gruff ways wouldnt be unkind to a fly,3463,John Cavendish,person
1850,"Christie, Agatha",The Mysterious Affair at Styles,But Lawrence never speaks to me if he can help it and Mary can hardly bring herself to be civil to me,3464,Lawrence Cavendish,person
1851,"Christie, Agatha",The Mysterious Affair at Styles,But Lawrence never speaks to me if he can help it and Mary can hardly bring herself to be civil to me,3464,Mary Cavendish,person
1852,"Christie, Agatha",The Mysterious Affair at Styles,Anyway I leant forward and taking her little hand I said awkwardly  Marry me Cynthia,3468,Cynthia Murdoch,person
1853,"Christie, Agatha",The Mysterious Affair at Styles,To my intense surprise Cynthia burst out laughing and called me a funny dear,3474,Cynthia Murdoch,person
1854,"Christie, Agatha",The Mysterious Affair at Styles,No indeed said Cynthia,3482,Cynthia Murdoch,person
1855,"Christie, Agatha",The Mysterious Affair at Styles,I remembered how Poirot had relied on my diplomacy,3490,Hercule Poirot,person
1856,"Christie, Agatha",The Mysterious Affair at Styles,Is Dr Bauerstein in,3494,Dr Bauerstein,person
1857,"Christie, Agatha",The Mysterious Affair at Styles,Yes thats it and  I waited to hear no more but tore up the village to find Poirot,3502,Hercule Poirot,person
1858,"Christie, Agatha",The Mysterious Affair at Styles,CHAPTER X THE ARREST  To my extreme annoyance Poirot was not in and the old Belgian who answered my knock informed me that he believed he had gone to London,3503,London,location
1859,"Christie, Agatha",The Mysterious Affair at Styles,CHAPTER X THE ARREST  To my extreme annoyance Poirot was not in and the old Belgian who answered my knock informed me that he believed he had gone to London,3503,Hercule Poirot,person
1860,"Christie, Agatha",The Mysterious Affair at Styles,What on earth could Poirot be doing in London,3505,London,location
1861,"Christie, Agatha",The Mysterious Affair at Styles,What on earth could Poirot be doing in London,3505,Hercule Poirot,person
1862,"Christie, Agatha",The Mysterious Affair at Styles,I retraced my steps to Styles in some annoyance,3507,Styles,location
1863,"Christie, Agatha",The Mysterious Affair at Styles,With Poirot away I was uncertain how to act,3508,Hercule Poirot,person
1864,"Christie, Agatha",The Mysterious Affair at Styles,Should I announce the arrest openly at Styles or not,3513,Styles,location
1865,"Christie, Agatha",The Mysterious Affair at Styles,Though I did not acknowledge it to myself the thought of Mary Cavendish was weighing on me,3514,Mary Cavendish,person
1866,"Christie, Agatha",The Mysterious Affair at Styles,Though I did not acknowledge it to myself the thought of Mary Cavendish was weighing on me,3514,Mary Cavendish,person
1867,"Christie, Agatha",The Mysterious Affair at Styles,Of course there was no possibility of being able permanently to conceal Dr Bauersteins arrest from her,3518,Dr Bauerstein,person
1868,"Christie, Agatha",The Mysterious Affair at Styles,If only Poirot had been accessible I could have asked his advice,3521,Hercule Poirot,person
1869,"Christie, Agatha",The Mysterious Affair at Styles,What possessed him to go posting off to London in this unaccountable way,3522,London,location
1870,"Christie, Agatha",The Mysterious Affair at Styles,I would never have dreamt of suspecting the doctor had not Poirot put it into my head,3524,Hercule Poirot,person
1871,"Christie, Agatha",The Mysterious Affair at Styles,After some reflecting I decided to take John into my confidence and leave him to make the matter public or not as he thought fit,3526,John Cavendish,person
1873,"Christie, Agatha",The Mysterious Affair at Styles,John reflected,3534,John Cavendish,person
1874,"Christie, Agatha",The Mysterious Affair at Styles,There was a column of mere padding about The Styles Poisoning Case but nothing further,3539,Styles,location
1875,"Christie, Agatha",The Mysterious Affair at Styles,It was rather inexplicable but I supposed that for some reason or other Inspector Japp wished to keep it out of the papers,3540,Inspector Japp,person
1876,"Christie, Agatha",The Mysterious Affair at Styles,After breakfast I decided to go down to the village and see if Poirot had returned yet but before I could start a wellknown face blocked one of the windows and the wellknown voice said   Bonjour mon ami   Poirot I exclaimed with relief and seizing him by both hands I dragged him into the room,3542,Hercule Poirot,person
1877,"Christie, Agatha",The Mysterious Affair at Styles,Listen I have said nothing to anybody but John,3544,John Cavendish,person
1878,"Christie, Agatha",The Mysterious Affair at Styles,Is that right  My friend replied Poirot I do not know what you are talking about,3545,Hercule Poirot,person
1879,"Christie, Agatha",The Mysterious Affair at Styles,Poirot shrugged his shoulders,3555,Hercule Poirot,person
1880,"Christie, Agatha",The Mysterious Affair at Styles,No doubt I am very dense but I cannot see what the proximity of the coast has got to do with the murder of Mrs Inglethorp,3557,Mrs Inglethorp,person
1882,"Christie, Agatha",The Mysterious Affair at Styles,Nothing at all of course replied Poirot smiling,3558,Hercule Poirot,person
1883,"Christie, Agatha",The Mysterious Affair at Styles,But we were speaking of the arrest of Dr Bauerstein  Well he is arrested for the murder of Mrs Inglethorp  What cried Poirot in apparently lively astonishment,3559,Mrs Inglethorp,person
1884,"Christie, Agatha",The Mysterious Affair at Styles,But we were speaking of the arrest of Dr Bauerstein  Well he is arrested for the murder of Mrs Inglethorp  What cried Poirot in apparently lively astonishment,3559,Dr Bauerstein,person
1886,"Christie, Agatha",The Mysterious Affair at Styles,But we were speaking of the arrest of Dr Bauerstein  Well he is arrested for the murder of Mrs Inglethorp  What cried Poirot in apparently lively astonishment,3559,Hercule Poirot,person
1887,"Christie, Agatha",The Mysterious Affair at Styles,Bauerstein arrested for the murder of Mrs Inglethorp  Yes,3561,Mrs Inglethorp,person
1889,"Christie, Agatha",The Mysterious Affair at Styles,Not for poisoning Mrs Inglethorp  Not unless our friend Inspector Japp has taken leave of his senses replied Poirot placidly,3572,Mrs Inglethorp,person
1891,"Christie, Agatha",The Mysterious Affair at Styles,Not for poisoning Mrs Inglethorp  Not unless our friend Inspector Japp has taken leave of his senses replied Poirot placidly,3572,Inspector Japp,person
1892,"Christie, Agatha",The Mysterious Affair at Styles,Not for poisoning Mrs Inglethorp  Not unless our friend Inspector Japp has taken leave of his senses replied Poirot placidly,3572,Hercule Poirot,person
1893,"Christie, Agatha",The Mysterious Affair at Styles,Butbut I thought you thought so too  Poirot gave me one look which conveyed a wondering pity and his full sense of the utter absurdity of such an idea,3573,Hercule Poirot,person
1894,"Christie, Agatha",The Mysterious Affair at Styles,Do you mean to say I asked slowly adapting myself to the new idea that Dr Bauerstein is a spy  Poirot nodded,3574,Dr Bauerstein,person
1895,"Christie, Agatha",The Mysterious Affair at Styles,Do you mean to say I asked slowly adapting myself to the new idea that Dr Bauerstein is a spy  Poirot nodded,3574,Hercule Poirot,person
1896,"Christie, Agatha",The Mysterious Affair at Styles,It did not strike you as peculiar that a famous London doctor should bury himself in a little village like this and should be in the habit of walking about at all hours of the night fully dressed,3577,London,location
1897,"Christie, Agatha",The Mysterious Affair at Styles,He is of course a German by birth said Poirot thoughtfully though he has practiced so long in this country that nobody thinks of him as anything but an Englishman,3579,Hercule Poirot,person
1898,"Christie, Agatha",The Mysterious Affair at Styles,But I could not look at it in Poirots philosophical way,3588,Hercule Poirot,person
1899,"Christie, Agatha",The Mysterious Affair at Styles,And this is the man with whom Mrs Cavendish has been wandering about all over the country,3589,Mary Cavendish,person
1900,"Christie, Agatha",The Mysterious Affair at Styles,I should fancy he had found her very useful remarked Poirot,3592,Hercule Poirot,person
1901,"Christie, Agatha",The Mysterious Affair at Styles,That of course I cannot say butshall I tell you my own private opinion Hastings,3596,Arthur Hastings,person
1902,"Christie, Agatha",The Mysterious Affair at Styles,Well it is this that Mrs Cavendish does not care and never has cared one little jot about Dr Bauerstein  Do you really think so,3598,Dr Bauerstein,person
1903,"Christie, Agatha",The Mysterious Affair at Styles,Well it is this that Mrs Cavendish does not care and never has cared one little jot about Dr Bauerstein  Do you really think so,3598,Mary Cavendish,person
1905,"Christie, Agatha",The Mysterious Affair at Styles,I am not a vain man where women are concerned but I remembered certain evidences too lightly thought of at the time perhaps but which certainly seemed to indicate  My pleasing thoughts were interrupted by the sudden entrance of Miss Howard,3604,Evelyn Howard,person
1907,"Christie, Agatha",The Mysterious Affair at Styles,This she handed to Poirot murmuring as she did so the cryptic words  On top of the wardrobe,3606,Hercule Poirot,person
1908,"Christie, Agatha",The Mysterious Affair at Styles,Poirot unfolded the sheet of paper eagerly and uttered an exclamation of satisfaction,3608,Hercule Poirot,person
1909,"Christie, Agatha",The Mysterious Affair at Styles,Come here Hastings,3610,Arthur Hastings,person
1910,"Christie, Agatha",The Mysterious Affair at Styles,But it was the label that was attracting Poirots attention,3613,Hercule Poirot,person
1911,"Christie, Agatha",The Mysterious Affair at Styles,At the top it bore the printed stamp of Messrs Parksons the wellknown theatrical costumiers and it was addressed to the debatable initial Cavendish Esq Styles Court Styles St Mary Essex,3614,Mary Cavendish,person
1912,"Christie, Agatha",The Mysterious Affair at Styles,At the top it bore the printed stamp of Messrs Parksons the wellknown theatrical costumiers and it was addressed to the debatable initial Cavendish Esq Styles Court Styles St Mary Essex,3614,Essex,location
1913,"Christie, Agatha",The Mysterious Affair at Styles,At the top it bore the printed stamp of Messrs Parksons the wellknown theatrical costumiers and it was addressed to the debatable initial Cavendish Esq Styles Court Styles St Mary Essex,3614,Styles St,location
1914,"Christie, Agatha",The Mysterious Affair at Styles,At the top it bore the printed stamp of Messrs Parksons the wellknown theatrical costumiers and it was addressed to the debatable initial Cavendish Esq Styles Court Styles St Mary Essex,3614,Styles,location
1915,"Christie, Agatha",The Mysterious Affair at Styles,At the top it bore the printed stamp of Messrs Parksons the wellknown theatrical costumiers and it was addressed to the debatable initial Cavendish Esq Styles Court Styles St Mary Essex,3614,Styles St Mary,location
1916,"Christie, Agatha",The Mysterious Affair at Styles,It certainly isnt a J  Good replied Poirot folding up the paper again,3616,Hercule Poirot,person
1918,"Christie, Agatha",The Mysterious Affair at Styles,Having deduced its existence I set Miss Howard to search for it and as you see she has been successful,3624,Evelyn Howard,person
1919,"Christie, Agatha",The Mysterious Affair at Styles,She meant replied Poirot promptly that she found it on top of a wardrobe,3626,Hercule Poirot,person
1922,"Christie, Agatha",The Mysterious Affair at Styles,Poirot I asked earnestly have you made up your mind about this crime,3632,Hercule Poirot,person
1923,"Christie, Agatha",The Mysterious Affair at Styles,Ah  Unfortunately I have no proof beyond my surmise unless With sudden energy he caught me by the arm and whirled me down the hall calling out in French in his excitement Mademoiselle Dorcas Mademoiselle Dorcas  un moment sil vous pla<U+FFFD>t,3634,Dorcas,person
1924,"Christie, Agatha",The Mysterious Affair at Styles,Dorcas quite flurried by the noise came hurrying out of the pantry,3635,Dorcas,person
1925,"Christie, Agatha",The Mysterious Affair at Styles,My good Dorcas I have an ideaa little ideaif it should prove justified what magnificent chance,3636,Dorcas,person
1926,"Christie, Agatha",The Mysterious Affair at Styles,Tell me on Monday not Tuesday Dorcas but Monday the day before the tragedy did anything go wrong with Mrs Inglethorps bell  Dorcas looked very surprised,3637,Mrs Inglethorp,person
1928,"Christie, Agatha",The Mysterious Affair at Styles,Tell me on Monday not Tuesday Dorcas but Monday the day before the tragedy did anything go wrong with Mrs Inglethorps bell  Dorcas looked very surprised,3637,Dorcas,person
1929,"Christie, Agatha",The Mysterious Affair at Styles,With a long drawn exclamation of ecstasy Poirot led the way back to the morningroom,3642,Hercule Poirot,person
1930,"Christie, Agatha",The Mysterious Affair at Styles,What is your remarkable little friend doing asked a voice behind me and I turned to find Mary Cavendish at my elbow,3648,Mary Cavendish,person
1931,"Christie, Agatha",The Mysterious Affair at Styles,What is your remarkable little friend doing asked a voice behind me and I turned to find Mary Cavendish at my elbow,3648,Mary Cavendish,person
1932,"Christie, Agatha",The Mysterious Affair at Styles,He asked Dorcas some question about a bell and appeared so delighted with her answer that he is capering about as you see  Mary laughed,3651,Mary Cavendish,person
1933,"Christie, Agatha",The Mysterious Affair at Styles,He asked Dorcas some question about a bell and appeared so delighted with her answer that he is capering about as you see  Mary laughed,3651,Dorcas,person
1934,"Christie, Agatha",The Mysterious Affair at Styles,Is he quite mad Arthur Hastings,3657,Arthur Hastings,person
1935,"Christie, Agatha",The Mysterious Affair at Styles,Is he quite mad Arthur Hastings,3657,Arthur Hastings,person
1936,"Christie, Agatha",The Mysterious Affair at Styles,In spite of her laugh Mary was looking thoughtful this morning,3661,Mary Cavendish,person
1937,"Christie, Agatha",The Mysterious Affair at Styles,It occurred to me that it would be a good opportunity to tackle her on the subject of Cynthia,3663,Cynthia Murdoch,person
1938,"Christie, Agatha",The Mysterious Affair at Styles,You are an excellent advocate I have no doubt Arthur Hastings but in this case your talents are quite thrown away,3665,Arthur Hastings,person
1939,"Christie, Agatha",The Mysterious Affair at Styles,You are an excellent advocate I have no doubt Arthur Hastings but in this case your talents are quite thrown away,3665,Arthur Hastings,person
1940,"Christie, Agatha",The Mysterious Affair at Styles,Cynthia will run no risk of encountering any unkindness from me,3666,Cynthia Murdoch,person
1941,"Christie, Agatha",The Mysterious Affair at Styles,I began to stammer feebly that I hoped she hadnt thoughtBut again she stopped me and her words were so unexpected that they quite drove Cynthia and her troubles out of my mind,3667,Cynthia Murdoch,person
1942,"Christie, Agatha",The Mysterious Affair at Styles,Hastings she said do you think I and my husband are happy together,3669,Arthur Hastings,person
1943,"Christie, Agatha",The Mysterious Affair at Styles,Where I come from who I was before I married Johnanything in fact,3676,John Cavendish,person
1944,"Christie, Agatha",The Mysterious Affair at Styles,I remembered that Cynthia had begun her confidences in much the same way,3681,Cynthia Murdoch,person
1945,"Christie, Agatha",The Mysterious Affair at Styles,My father was English said Mrs Cavendish but my mother was a Russian,3683,Mary Cavendish,person
1946,"Christie, Agatha",The Mysterious Affair at Styles,My father was English said Mrs Cavendish but my mother was a Russian,3683,Russia,location
1948,"Christie, Agatha",The Mysterious Affair at Styles,She paused a minute and added in a different tone And then I met John Cavendish,3701,John Cavendish,person
1949,"Christie, Agatha",The Mysterious Affair at Styles,She answered quietly  I mean that I am not going to remain at Styles  You and John are not going to live here,3718,John Cavendish,person
1950,"Christie, Agatha",The Mysterious Affair at Styles,She answered quietly  I mean that I am not going to remain at Styles  You and John are not going to live here,3718,Styles,location
1951,"Christie, Agatha",The Mysterious Affair at Styles,John may live here but I shall not,3719,John Cavendish,person
1952,"Christie, Agatha",The Mysterious Affair at Styles,And as she spoke I had a sudden vision of broad spaces virgin tracts of forests untrodden landsand a realization of what freedom would mean to such a nature as Mary Cavendish,3723,Mary Cavendish,person
1953,"Christie, Agatha",The Mysterious Affair at Styles,And as she spoke I had a sudden vision of broad spaces virgin tracts of forests untrodden landsand a realization of what freedom would mean to such a nature as Mary Cavendish,3723,Mary Cavendish,person
1954,"Christie, Agatha",The Mysterious Affair at Styles,Then suddenly I said a thing I could have bitten out my tongue for  You know that Dr Bauerstein has been arrested,3727,Dr Bauerstein,person
